,Year,Rank,Title,Author,INTRO,TB
0,2023,1,만일 내가 인생을 다시 산다면,김혜남,"['하나', '문', '문', '이상', '고민', '30년', '동안', '정신', '분석', '전문의', '일해', '김', '혜', '남이', '당신', '에게 해', '말', '책', '가지', '후회', '게', '스스로', '닦달', '인생', '숙제', '것', '말', '의사', '엄마', '아내', '며느리', '딸', '의무', '책임감', '치', '역할', '보니', '정작', '삶', '즐거움', '것', '년', '세', '살', '파킨슨병', '진단', '자신', '집안', '병원', '것', '세상', '자신', '곁', '사람', '인생', '것', '인지', '후회', '인생', '사람', '말', '것', '하나', '문', '문', '이상', '고민', '책', '년', '오늘', '게', '이유', '제목', '출간', '독자', '사랑', '부', '돌파', '베스트셀러', '것', '기념', '스페셜', '에디션', '저자', '30년', '간', '정신', '분석', '전문의', '일', '인생', '비밀', '22년', '간', '파킨슨병', '수', '이유', '완벽', '때', '법', '이다', '때', '것', '답', '이다', '것', '상처', '말', '말', '것', '사람', '것', '있다', '등', '환자', '이야기']","['부', '기념', '스페셜', '에디션', '프로', '로', '파킨슨병', '것', '년', '동안', '정신', '분석', '전문의', '일', '인생', '비밀', '불행', '때', '있다', '완벽', '한', '때', '법', '발짝', '것', '처음', '문', '문', '삶', '것', '의미', '후회', '일해', '게', '말', '것', '환자', '이야기', '어른', '것', '환자', '말', '과거', '현재', '지배', '말', '것', '사랑', '사람', '치유', '말', '것', '직장', '선후배', '말', '것', '내', '열등감', '비결', '것', '상처', '말', '말', '것', '혼자', '말', '사람', '감정', '자책', '사람', '게', 'Chapter 3', '병', '수', '이유', '22년', '간', '파킨슨병', '것', '들', '행복', '수', '것', '용서', '이유', '내', '슬픔', '등', '친구', '충고', '까닭', '남', '법', '공부', '즐거움', '말', '귀', '사람', '것', '행운', '뿐', '이다', 'Chapter 4', '살', '것', '아버지', '죽음', '앞', '이', '태도', '아무것', '시간', '필요', '이유나', '남편', '남편', '사실', '부모', '말', '것', '때', '것', '답', '사람', '것', '게', '사람', '사람', '마라', '끝', '것', '사람', '이다', '만일', '인생', '실수', '것', '이다', '나이', '것', '이다', '상처', '사랑', '것', '길', '아이', '아이', '길', '것', '번', '쯤', '것', '때', '유머', '것', '이다', '순간', '것', '이다', '죽음', '것', '이다', '에필로그', '인생', '리스트']"
1,2023,2,생에 감사해,김혜자,"['우리들의', '배우', '김혜자', '연기', '인생', '그럼에도 불구하고', '생', '감사', '한국', '대표', '연기자', '사랑', '배우', '김혜자', '60년', '간', '배역', '삶', '모순', '고통', '환희', '기쁨', '배역', '사람', '번', '연기', '뒤', '신이', '믿음', '연기', '평가', '최고', '선물', '몰입', '편안', '이미지', '배우', '삶', '이면', '시간', '감사', '기도', '작품', '때', '자신', '마지막', '작품', '배우', '작품', '선택', '때', '현실', '고통', '절망', '사이', '바늘', '귀', '희망', '빛', '기준', '배우', '자신', '죽음', '생각', '절망', '사람', '희망', '작품', '선택', '배우', '김혜자', '책', '연기', '인생', '자전', '기록', '몰입', '열정', '감사', '기쁨', '국민', '배우', '국민', '엄마', '명성', '이면', '불가해', '허무', '슬픔', '생', '무대', '위', '고백', '글', '마지막', '책장', '김혜자', '김혜자', '생각', '마음']","['신', '대본', '배우', '혜자', '힘', '처음', '인생', '사랑', '사랑', '기억', '산다', '날', '사랑', '꽃', '매니저', '인생', '일기', '내일', '일', '내일', '생각', '거', '야', '인생', '계절', '다모', '것', '다', '용서', '사', '것', '외', '해답', '아름답다', '혼자', '들풀', '사람', '행복', '사랑', '사람', '신', '계획', '있다', '인생', '드라마', '나', '커튼콜', '때']"
2,2023,3,기분이 태도가 되지 말자,김수현,"['기분', '수', '부정', '감정', '스스로', '보호', '긍정', '감정', '평온', '심리', '상태', '유지', '비결', '인생', '결정', '건', '하루', '기분', '그날', '기분', '하루', '성과', '결정', '하루', '성과', '미래', '미래', '인생', '때문', '감정', '조절', '미래', '인생', '결정', '건', '하루', '기분', '그날', '기분', '하루', '성과', '결정', '하루', '성과', '미래', '미래', '인생', '때문', '감정', '조절', '미래', '책', '자신', '감정', '현명', '통제', '방법', '인생', '계기']","['프롤로그', '감정', '기분', '태도', '말', '자', '하루', '기분', '관리', '암시', '문장', '분노', '대처', '방법', '감정', '기복', '사람', '특징', '외로움', '필요', '것', '생각', '사람', '생각', '정리', '법', '스트레스', '대처', '방법', '용서', '하루', '법', '조금', '생각', '기분', '필요', '것', '피곤', '삶', '감정', '조절', '연습', '재수', '날', '억지', '로라', '이유', '불안', '대처', '방법', '행복', '것', '추억', '간직', '방법', '마음', '상처', '기분', '고생', '애정', '결핍', '의심', '건', '상처', '것', '사람', '우울증', '증상', '정', '조언', '척', '습관', '인생', '처음', '대', '감정', '자신', '절대', '행동', '해', '마무리', '사랑', '사람', '발음', '것', '어른', '사람', '연인', '사이', '이별', '말버릇', '연애', '상대', '말', '사람', '이유', '연인', '때', '절대', '행동', '가지', '촉', '연인', '사랑', '사람', '특징', '콩깍지', '순간', '이별', '후', '이별', '후', '멘탈', '관리', '방법', '관계', '유형', '인연', '인간관계', '때', '것', '희생', '미덕', '아', '니다', '까마귀', '곳', '백로', '가지', '마라나', '원래', '이래', '인간관계', '이유', '삶', '자세', '게으름', '번', '아웃', '구분', '법', '대', '조언', '가지', '삶', '윤택', '인생', '조언', '가지', '고생', '끝', '꽃', '습관', '성숙', '사람', '마인드', '가지', '자존', '감', '사람', '자존심', '사람', '차이', '무기', '자존', '감', '인생', '노', '시기', '당신', '단점', '사랑', '후회', '인생', '살', '새내기', '운동', '이유', '내', '어른', '증거']"
3,2023,4,우리는 모두 죽는다는 것을 기억하라,웨인 다이어/정지현 역,"['눈앞', '코앞', '발밑', '죽음', '기억', '타인', '시선', '자신', '삶', '법', '전파', '행복', '이기주의자', '순간', '사람', '삶', '웨인', '박사', '것', '기억', '시대', '동기', '부여', '전문가', '심리학자', '영성', '가로', '평가', '지혜', '통찰', '삶', '간', '저자', '세상', '마지막', '간', '작품', '삶', '현자', '작가', '철학자', '영성', '가', '명성', '등등', '인물', '목소리', '저자', '것', '일', '것', '고민', '것', '불안', '죽음', '코앞', '이야기', '사실', '삶', '당장', '변화', '책', '삶', '답', '방식', '사람', '이야기', '자신', '투명', '분노', '죄책감', '돈', '명예', '욕망', '자유', '삶', '방식', '자신', '발견', '것']","['아침', '일', '일부', '인가', '죽음', '전위', '눈', '시간', '공간', '풍요', '무한', '근원', '삶', '집착', '자유', '판단', '경청', '우', '아하', '것', '함정', '용서', '것', '이다', '두려움', '대우', '마라', '출몰', '기억', '감각', '오렌지', '교훈', '내', '관여', '수', '일', '인가', '몸', '영혼', '차고', '보이', '게', '사람', '세상', '실수', '법', '것', '것', '로프트', '사랑', '사람', '마라', '진정', '한', '시험', '공평', '것', '산책', '노력', '번', '다', '마지막', '옷', '먹이', '마라', '삶', '프레임', '지혜', '기대', '활용', '연습', '영혼', '것', '깊이', '것', '엘리베이터', '사람', '법', '거짓말', '거짓말', '거짓말', '물', '인생', '흐름', '추락', '다원', '것', '자체', '생각', '열정', '사이', '의도', '간직', '선택', '순간', '기억', '것', '이름', '존재', '사랑', '지금', '을', '삶', '여행', '목적', '아무것', '다누리', '오다', '준비', '학생', '평화', '걸작', '탄생', '가나', '모습', '의심', '사랑', '조건', '균열', '걸음', '전진', '존재', '퍼센트', '관계', '꽃', '보라', '사랑', '사랑', '필요', '때', '동시', '다발', '존재', '있다', '목격자', '갈등', '상대', '머릿속', '탈출', '사랑', '두려움', '통', '속', '때', '영감', '이름', '파도', '눈썹', '때', '지금', '세상', '자', '꿈', '영혼', '일신', '일', '가', '피정', '불안', '귀', '자연', '것', '지금', '생각', '어제', '행동', '결과', '아', '니다', '저항', '힘', '당신', '행복', '방식', '거절', '사람', '감', '사하라', '존재', '라', '선언', '자세', '원망', '생각', '하기', '삶', '법칙', '것', '축복', '기도', '가시', '새', '먹이', '다', '몸', '집', '아무것', '곳', '와서', '잡동사니', '진짜', '이유', '겸손', '경지', '씨앗', '우주', '예외', '영향력', '초월', '것', '명상', '이유', '괴로움', '형태', '수', '일', '가치', '존재', '미묘', '한', '방문자', '결핍', '것', '에너지', '다신', '단어', '정오', '오후', '시', '분', '후', '생각', '사랑', '증오', '계획', '사랑', '마라', '생각', '게', '인생', '이지', '비관론자', '단상', '누구', '때문', '인가', '스스로', '인생', '희망', '도달', '개', '무덤', '문제', '무게', '즉흥', '필요', '침묵', '의미', '고요한', '시간', '확보', '마음', '연못', '신', '있다', '시련', '극복', '도', '전이', '란동', '시성', '힘', '삶', '노크', '생각', '왼쪽', '뇌', '집중', '진가', '고찰', '순응', '용기', '인생', '선물', '만', '음악', '연주']"
4,2023,5,당신은 결국 무엇이든 해내는 사람(10만 부 기념 특별 리커버 에디션),김상현,"['장례식', '김상현', '작가', '년', '신작', '독자', '부', '기념', '리', '커버', '에디션', '수', '사람', '당신', '내일', '응원', '장례식', '독자', '사랑', '김상현', '작가', '신작', '사람', '기록', '에세이', '베스트셀러', '위', '카카오톡', '선물', '위', '기록', '등', '사랑', '책', '시기', '제목', '위로', '응원', '것', '작가', '문장', '자신', '수', '동기', '부여', '용기', '말', '독자', '부', '기념', '리', '커버', '에디션', '준비', '이번', '에디션', '건', '책', '주인공', '이름', '순간', '세상', '뿐', '책', '완성', '점', '이름', '응원', '사람', '이름', '책', '표지', '밑줄', '선물', '수', '사람', '것', '믿음', '문장', '장례식', '인간관계', '행복', '시선', '위로', '문장', '김상현', '작가', '신작', '사람', '자신', '수', '힘', '시행착오', '수', '사람', '희망', '믿음', '문장', '장', '삶', '아무것', '남지', '것', '때', '좌절', '기력', '불안', '날', '속', '속도', '과정', '장', '불안', '고민', '불안', '것', '지금', '방향', '것', '긍정', '다짐', '자세', '이야기', '마지막', '장', '길', '목적지', '도착', '것', '위로', '수', '사람', '희망', '삶', '것', '남지', '것', '때', '수', '때', '책', '걸음', '희망', '메시지', '것']","['추천', '글', '작가', '말', '삶', '아무것', '남지', '것', '때', '당신', '오늘', '가요', '무리', '선', '속', '도로', '믿음', '변화', '균형', '일', '불안', '불안', '별것', '행운', '테', '불안', '고민', '가요', '후회', '하루', '만족', '수', '하루', '필요', '과거', '것', '세상', '편', '사람', '눈치', '말', '것', '수', '건', '수', '대로', '그해', '가을', '벚꽃', '행복', '책임', '불행', '극복', '방법', '시작', '수', '발자국', '뒤', '서서', '연습', '바로', '지금', '입', '니다', '엔딩크레딧']"
5,2023,6,내가 틀릴 수도 있습니다,비욘 나티코 린데블라드/박미경 역/토마스 산체스 그림,"['때', '성공', '17년', '간의', '숲', '속', '수행', '삶', '죽음', '경계', '것', '불안', '폭풍우', '속', '구원', '책', '2022년', '1월', '사람', '세상', '망설임', '두려움', '한마디', '애도', '물결', '스웨덴', '비요', '나', '티코', '린', '데블', '라드', '스웨덴인', '불안', '평화', '고요', '년', '루', '게', '릭', '병', '진단', '후', '지혜', '수', '20대', '사회', '성공', '것', '숲속으로', '17년', '간', '수행', '저자', '여정', '깨달음', '마지막', '책', '독자', '삶의 의미', '희망', '스웨덴', '베스트셀러', '위', '출간', '개국', '수출', '스웨덴', '부', '판매', '달라이', '라마', '도종환', '추천사']","['프롤로그', '것', '불편', '삶', '과거', '목줄', '카라마조프', '가의', '형제', '사원', '첫발', '생각', '다', '엄마', '숲', '속', '승려', '요지', '혜가', '사람', '나', '티코', '순간', '지성', '괴짜', '공동체', '선택', '훈련', '곰돌이 푸', '지혜', '마법', '주문', '번', '실패', '사람', '은어', '색', '은자', '행복', '주먹', '손바닥', '짓', '빌어', '먹', '기적', '여지', '무언', '가가', '것', '전직', '승려', '수치', '반지', '안', '비밀', '것', '시작', '문', '인생', '의미', '선물', '것', '믿음', '자리', '모습', '것', '이다', '세상', '것', '때', '이별', '한마디', '원래', '것', '이다', '집으로', '길', '에필로그', '두려움', '망설임']"
6,2023,7,그대 늙어가는 것이 아니라 익어가는 것이다,오평선,"['행복', '인생', '절반', '인생', '문장', '감동', '카카오스토리', '화제', '글', '좋은 아침', '상투', '인사', '대신', '행복', '내일', '것', '후회', '것', '삶', '것', '이다', '마음', '응원', '글', '적', '것', '자신', '감동', '사랑', '사람', '마음', '민들레', '씨', '명', '마음속', '꽃', '꽃씨', '주인', '작가', '평', '선', '년', '것', '것', '이다', '속', '문장', '메신저', '중년', '사이에서', '공유', '앞', '행복', '삶의 의미', '년', '12월', '평', '선의', '글', '독자', '요청', '기존', '사랑', '글', '지혜', '평', '선', '철학', '생각', '개', '인생', '문장', '재탄생', '시간', '사랑', '점', '명화', '몽테뉴', '아리스토텔레스', '법정', '스님', '등', '인생', '선배', '격언', '위로', '가족', '행복', '뒤', '부모', '세상', '기준', '삶', '뒤', '책', '선물', '인생', '후반', '햇볕', '문장', '날', '곁', '것', '해', '농사', '땅', '회복', '수', '봄', '밭', '작물', '수', '땅', '숨', '시간', '필요', '정작', '숨', '시간', '삶', '삶', '이다', '중']","['말', '남은', '인생', '것', '인가', '장', '이제', '때', '때', '다모', '서리', '무가', '눈', '세상', '자신', '철책', '것', '것', '종착역', '현실', '결별', '보', '자연', '역풍', '해우', '소가', '가나이', '둔감', '다기', '대치', '만족', '삶', '삶', '이다', '그때', '기억', '것', '인가', '풍요', '것', '삶', '후회', '지혜', '이용하', '라', '것', '본질', '것', '것', '나이', '장', '것', '것', '이다', '다운', '꽃', '때', '아름답다', '게', '것', '이다', '시간', '삶', '내리막길', '풍경', '있다', '삶', '배', '선원', '땅', '해바라기', '꽃', '봄', '꽃', '봄', '이다', '노화', '습관', '발걸음', '의심', '말라', '다음', '필', '꽃', '사랑', '이다', '겨울', '시작', '이다', '어려움', '크기', '성장', '수', '있다', '사막', '건', '오아시스', '때문', '이다', '마디', '자란', '어른', '이유', '것', '인생', '전부', '다나', '말', '사람', '나', '다나', '이', '실', '열매', '장', '남', '때', '다남', '하든', '행복', '수', '이유', '배', '곳', '것', '당신', '삶', '아름답다', '자식', '실패', '것', '마라', '마음', '마음', '나무', '색', '꽃', '피', '듯이', '사랑', '말', '이해', '말', '단어', '해', '지자', '마지막', '것', '나이', '것', '이제', '공감대', '필요', '상대', '마음', '흔적', '것', '평생', '친구', '빵집', '추억', '다마', '음', '친구', '이나', '장', '행복', '것', '것', '이다', '행복', '저축', '것', '아', '니다', '번', '돌다리', '행복', '추억', '때', '법', '이다애', '정', '일', '사랑', '포만감', '부자', '법', '번데기', '응원', '사람', '청춘', '이다', '필요', '때', '고드름', '시절', '아버지', '취미', '낚시', '행복', '세상', '필요', '존재', '감각', '지금', '인생', '전부', '다작품', '정보']"
7,2023,8,전지적 푸바오 시점,"송영관, 송영관/류정훈 사진","['말', '오늘', '사랑', '오늘', '세상', '날', '할부', '지', '송', '바오', '판다', '월드', '바오', '패밀리', '사랑', '일상', '포토', '에세이', '엄마', '아이', '바오', '사랑', '아빠', '러', '바오', '장난꾸러기', '성격', '국내', '최초', '자연', '판다', '때', '주목', '년', '봄', '소유권', '중국', '소식', '후', '관심', '사랑', '년차', '사육사', '이자', '영원', '할부', '지', '송', '바오', '송', '영관', '작가', '애정', '보답', '판다', '월드', '이야기', '전지', '시점', '출간', '국내', '최초', '아기', '판다', '탄생', '최근', '성장', '과정', '아이', '바오', '러', '바오', '매력', '일상', '글', '사진', '구성', '책', '브런치', '에버랜드', '네이버', '카페', '주토피아', '등', '연재', '전지', '시점', '바탕', '작가', '판다', '매력', '일상', '글', '나이', '문예', '창작', '진학', '글쓰기', '공부', '후', '스토리텔링', '글', '연재', '당시', '마음', '듯', '재치', '글', '솜씨', '시선', '사진', '브런치', '화제', '글', '선정', '채널', '팬', '책', '출간', '요청', '송', '영관', '사육사', '작가', '대중', '처음', '책', '전지', '시점', '컷', '사진', '미', '공개', '에피소드', '송', '바오', '에세이', '미', '공개', '편지', '등', '구성', '송', '바오', '바오', '패밀리', '사람', '애정', '시선', '밀착', '사진', '재치', '글', '바오', '패밀리', '성장', '스토리', '사육사', '이자', '동물', '사랑', '사람', '책임', '진심', '내밀', '목소리', '에세이']","['프롤로그', '어메이징', '판다', '월드', '장', '오늘', '실', '실', '장', '지금', '행복', '충전', '중', '장', '오늘', '털', '빵', '장', '오늘', '사랑', '말', '에필로그', '판다', '월드', '보물', '가족', '사랑', '작가', '말', '행복', '동물원']"
8,2023,9,모든 것은 기본에서 시작한다,손웅정,"['축구', '선수', '삶', '아버지', '삶', '지도자', '삶', '자신', '삶', '반성', '성찰', '신념', '철학', '축구', '아버지', '작품', '이다', '손흥민', '겸손', '것', '것', '감사', '세상', '감사', '자', '것', '이다', '삶', '욕심', '마음', '손흥민', '선수', '아버지', '축구', '지도자', '세계인', '주목', '손웅정', '감독', '메시지', '삶', '본질', '초점', '축구', '선수', '자신', '경험', '반추', '생각', '손흥민', '선수', '교육', '기본기', '강조', '기술', '데', '것', '선수', '사람', '손웅정', '교육', '방향', '삶', '방식', '사람', '회자', '반향', '책', '최초', '자신', '삶', '궤적', '생각', '삶', '철학', '것', '시절', '가난', '수', '축구', '의지', '축구', '마음', '스스로', '담금질', '한', '시간', '프로', '선수', '시절', '은퇴', '후', '시절', '이야기', '아들', '축구', '연구', '개발', '훈련법', '손흥민', '선수', '독일', '영국', '생활', '생각', '평생', '책', '은혜', '말', '손웅정', '감독', '누', '군가', '도움', '수', '바람', '자신', '이야기', '손웅정', '축구', '철학', '교육', '철학', '삶', '철학', '삶', '지침서', '것']","['부끄러움', '성찰', '인생', '치', '앞', '수', '폭풍우', '와도', '축구', '진짜', '것', '축구', '사람', '아들', '아비', '마음', '축구', '이야기', '축구', '무지', '집념', '공짜', '쌀', '말', '필요', '축구', '인생', '안', '반복', '불합리', '속', '건', '거', '다', '연습', '벌레', '하루', '기본', '당장', '성적', '미래', '투자', '다혜', '성은', '삶', '살', '아라', '압정', '시간', '반복', '힘', '세상', '행복', '볼보이', '철학', '죽', '때', '공부', '수', '무식', '자', '독서', '법가', '정은', '최초', '최고', '학교', '훈련법', '성공', '안', '길', '말라', '세', '가지', '가르침', '판', '기회', '기회', '준비', '행운', '때', '번', '훈련병', '생활', '기회', '사람', '기회', '세상', '내', '흥', '민이', '말', '아킬레스건', '기회', '감사', '겸손', '축구', '위', '삶', '아래', '보라', '밥', '아비', '운', '칠기', '삼', '누구', '위기', '부족', '때문', '여름날', '지옥', '훈련', '배짱', '겸손', '행복', '행복', '자', '승자', '삶', '조력자', '삶', '버팀목', '그루', '나무', '위해', '운동장', '꿈', '시작', '삶', '하루', '번']"
9,2023,10,빅터 프랭클의 죽음의 수용소에서,빅터 프랭클/이시형 역,"['죽음의 수용소에서', '나치', '강제', '수용소', '생사', '속', '삶의 의미', '인간', '존엄성', '승리', '프랭크', '박사', '자서전', '체험', '수기', '체험', '바탕', '프랭크', '박사', '자신', '정신', '분석', '방법', '로고테라피', '조각', '삶', '실', '의미', '책임', '유형', '것', '프랭크', '박사', '창안', '현대', '실존', '분석', '로고테라피', '목적', '추구', '바다', '책', '로고테라피', '발견', '체험', '설명', '죽음', '강제', '수용소', '죄수', '생활', '자신', '몸뚱이', '실존', '발견', '부모', '형제', '아내', '강제', '수용소', '소유물', '가치', '파멸', '채', '굶주림', '추위', '핍박', '속', '죽음', '공포', '의미', '삶', '발견', '유지', '수', '로고테라피', '실존', '분석', '사례', '프랭크', '박사', '단계', '의식', '책임', '인간', '현상', '양심', '현상', '실존', '분석', '기본', '현상', '무의식', '심령', '현상', '정신', '요법', '실존', '분석', '확대', '인간', '의식', '면', '동시', '무의식', '책임감', '것', '심령', '무의식', '자리', '무의식', '종교관', '초월', '무의식', '속', '것', '설파']","['1984년', '판', '부친', '서문', '이', '서문', '추천', '글', '부', '강제 수용소', '체험', '강제 수용소', '사람', '이야기', '카', '포', '안', '지배자', '생존', '경쟁', '각축', '장이', '책', '동기', '믿음', '상실', '삶', '의지', '상실', '다도', '살', '장', '아우슈비츠', '수용', '집행', '유예', '망상', '삶', '죽음', '갈림길', '환상', '충격', '냉담', '궁금증', '인간', '환경', '적응', '수', '있다', '절망', '자살', '보류', '다', '죽음', '선발', '말라', '혐오감', '감각', '주검', '수프', '죽음', '모멸감', '감각', '죄수', '분노', '때', '카', '포', '혜택', '수감자', '꿈', '것', '원', '초적', '욕구', '정서', '수용소', '안', '정치', '종교', '인간', '구원', '사랑', '안', '사랑', '실현', '다나', '가슴', '오', '세상', '수', '있다', '강제 수용소', '안', '예술', '강제 수용소', '유머', '것', '상대', '행복', '상대', '행복', '환자', '생활', '생존', '군중', '속', '혼자', '공간', '번호', '취급', '사람', '운명', '장난', '테헤란', '죽음', '운명', '결정', '수용소', '마지막', '날', '운명', '감각', '원인', '인간', '정신', '자유', '시련', '의미', '끝', '수', '일시', '삶', '미래', '기대', '삶', '의지', '다', '미래', '믿음', '상실', '죽음', '부른다', '이유', '완수', '시련', '얼마', '고자', '살', '방지', '노력', '집단정신', '치료', '경험', '수용소', '인간', '군상', '해방', '체험', '해방', '이후', '현상', '비통', '환멸', '부', '로고테라피', '기본', '개념', '로고테라피', '기본', '개념', '의미', '의지', '실존', '좌절', '누', '닉', '노이로제', '정신', '역동', '성실', '존', '공허', '삶의 의미', '존재', '본질', '사랑', '의미', '시련', '의미', '임상', '문제', '들로', '고', '드라마', '초의', '미', '삶', '일회', '성기', '법', '로고테라피', '집단', '신경증', '결정론', '비판', '정신', '의학', '도의', '신조', '인간', '얼굴', '정신', '의학', '부', '비극', '속', '낙관', '비극', '속', '낙관', '저자', '해', '로고테라피', '문헌']"
10,2023,11,미움받을 용기(200만 부 기념 스페셜 에디션),"기시미 이치로, 고가 후미타케/전경아 역/김정운 감수","['독자', '선택', '시대', '고전', '주', '연속', '역대', '장기간', '베스트셀러', '위', '세계', '부', '돌파', '글로벌', '베스트셀러', '고민', '인간관계', '타인', '미움', '것', '것', '용기', '문제', '사람', '변화', '지금', '자유', '삶', '지금', '성공', '삶', '지금', '행복', '삶', '핑계', '포기', '자신', '인생', '능력', '부잣집', '참고', '환경', '탓', '현실', '외면', '말', '인간', '수', '행복', '수', '있다', '단언', '철학자', '그간', '상식', '프로이트', '원인', '정면', '부정', '자유도', '행복', '용기', '문제', '뿐', '환경', '능력', '문제', '알프레드', '아들러', '2014년', '출간', '주', '연속', '베스트셀러', '위', '기록', '대한민국', '아들러', '열풍', '책', '미움', '용기', '국내', '부', '판매', '기념', '리', '커버', '에디션', '독자', '이번', '리', '커버', '8년', '간', '사랑', '한국', '독자', '저자', '친서', '디자인', '삽화', '옷', '오랫동안', '아들러', '연구', '철학자', '기시', '미', '이치로', '혜안', '일본', '대표', '스토리텔링', '작가', '고가', '후', '미타', '필력', '미움', '용기', '년', '개국', '이상', '번역', '출간', '세계', '누적', '판매', '돌파', '경이', '기록', '프로이트', '융', '심리학', '대', '거장', '아들러', '인간', '능력', '환경', '과거', '트라우마', '얼마', '수', '존재', '현재', '눈앞', '문제', '직시', '용기', '필요', '말', '책', '자유', '용기', '용기', '미움', '용기', '자유', '행복', '삶', '아들러', '가르침', '철학자', '청년', '대화', '형식', '행복', '인생', '것', '인간', '본연', '질문', '해답', '제시']","['한국', '독자', '감수', '추천', '번', '밤', '트라우마', '부정', '심리학', '거장', '인간', '수', '이유', '가트', '라우마', '존재', '다인', '간', '분노', '다', '과거', '지배', '삶', '소크라테스', '아들러', '당신', '이대로', '나', '불행', '선택', '것', '인간', '결심', '다나', '인생', '지금', '결정', '번', '밤', '고민', '인간관계', '자신', '가모', '고민', '인간관계', '고민', '이다', '열등감', '주관', '감정', '이다', '변명', '열등', '콤플렉스', '자랑', '사람', '열등감', '사람', '인생', '타인', '경쟁', '얼굴', '주의', '사람', '뿐', '이다', '권력', '투쟁', '복', '수로', '잘못', '인정', '것', '패배', '인생', '과제', '극복', '것', '인가', '붉은 실', '쇠사슬', '인생', '거짓말', '외면', '말라', '소유', '심리학', '사용', '심리학', '세', '번', '밤', '타인', '과제', '정', '욕구', '부정', '사람', '기대', '만족', '말라', '과제', '분리', '타인', '과제', '인간관계', '고민', '해결', '매듭', '정', '욕구', '부자유', '강요', '정한', '자유', '인가', '인간관계', '카드', '번', '밤', '세계', '중심', '심리학', '전체론', '인간관계', '목표', '공동체', '감각', '것', '왜', '이외', '관심', '두지', '가나', '세계', '중심', '공동체', '소리', '칭찬', '야단', '말라', '용기', '부여', '과정', '스스로', '가치', '사람', '생각', '존재', '것', '가치', '있다', '인간', '구분', '수', '번', '밤', '지금', '과도', '자의식', '브레이크', '건', '다', '자기', '긍정', '자기수용', '신용', '신뢰', '가일', '본질', '타인', '공헌', '것', '사람', '어른', '일', '전부', '인생', '거짓말', '인간', '지금', '순간', '행복', '수', '있다', '존재', '사람', '앞', '갈래', '길', '용기', '인생', '찰나', '연속', '이다', '춤', '살라', '지금', '스포트라이트', '인생', '최대', '거짓말', '의미', '인생', '의미', '부여', '책']"
11,2023,12,생각이 너무 많은 어른들을 위한 심리학(10만 부 기념 스페셜 에디션),김혜남,"['완벽', '때', '법', '이상', '고민', '인생', '것', '독자', '공감', '만일', '인생', '작가', '김', '혜', '남이', '생각', '어른', '말', '책', '30대', '대', '이후', '삶', '30대', '향후', '인생', '좌우', '결정', '때문', '선택', '신중', '수', '문제', '생각', '긍정', '생각', '부정', '생각', '번', '부정', '생각', '시작', '줄', '것', '저자', '년', '동안', '정신', '분석', '전문의', '일', '환자', '대부분', '자신', '타인', '세상', '부정', '사랑', '만', '가치', '사람', '스스로', '비하', '내일', '정신', '분석', '치료', '부정', '생각', '원인', '동굴', '일', '때', '걱정', '고민', '이제', '자신', '발목', '것', '인지', '부정', '생각', '근본', '원인', '해결', '생각', '함정', '수', '후회', '인생', '수', '때문', '완벽', '때', '법', '이상', '고민', '인생', '것', '책', '년', '동안', '환자', '삶', '인생', '통찰', '아이', '엄마', '시부모', '며느리', '남자', '아내', '손주', '할머니', '경험', '토대', '인생', '조언', '가지', '년', '출간', '어른', '것', '독자', '입', '소문', '부', '베스트셀러', '것', '기념', '전면', '개정', '증보판']","['스페셜', '에디션', '후회', '삶', '생각', '나', '생각', '긍정', '생각', '부정', '생각', '황금', '비율', '지금', '살', '수', '이유', '인간관계', '피곤', '사람', '특징', '어른', '이름', '무게', '걱정', '퍼센트', '방법', '환자', '말', '살', '병', '것', '부정', '생각', '사람', '말', '감정', '기복', '사람', '착각', '일', '수', '부족', '게', '약점', '강점', '것', '사람', '주눅', '필요', '유일', '비판', '비난', '말', '것', '짜증', '말', '사람', '특징', '번', '쯤', '자신', '것', '방법', '가지', 'Chapter 3', '문제', '수', '있다', '그녀', '아이', '후', '이유', '누구', '마음속', '상처', '어린아이', '있다', '정신', '분석', '공부', '것', '당신', '방어 기제', '문제', '시절', '얘기', '불편', '사람', '공통점', '내', '안', '어린아이', '가지', '방법', 'Chapter 4', '정신', '분석', '어른', '태도', '첫눈', '운명', '사랑', '위험', '이유', '일', '때', '법', '사람', '최소한', '예의', '말', '사람', '공통점', '경청', '대화', '법', '용서', '서로', '뿐', '이다', '내', '딸', '까닭', '남이', '법', '전', '것', '인생', '숙제', '안녕', '작별', '인사', '이유', '늦기 전에', '일', '이별', '수', '사람', '심리', '언니', '죽음', '것', '사랑', '사람', '말', '실연', '대처', '현명', '방법', '때', '척', '말', '것', '나이', '수', '삶', '흉터', '사랑', '이유', '혼자', '시간', '인생', '문제', '해결', '30대', '후회', '까닭', '결혼', '아들과 딸', '에게 해', '유일한', '당부', '행복', '어른', '어린아이', '안다', '이후', '필요', '건', '체력', '이다', '우리', '서로', '상처', '수', '방법', '나이']"
